DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BA,2016,35530,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BA,2017,36336,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BA,2018,37744,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2010,105152,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2011,104292,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2012,109076,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2013,109334,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2014,104755,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2015,110541,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2016,108097,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2017,109666,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2018,110693,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2019,108783,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2020,126896,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BE,2021,112331,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2010,110165,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2011,108258,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2012,109281,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2013,104345,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2014,108952,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2015,110117,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2016,107580,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2017,109791,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2018,108526,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2019,108083,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2020,124735,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BG,2021,148995,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2010,137132,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2011,135090,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2012,126531,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2013,125326,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2014,121542,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2015,120026,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2016,119379,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,BY,2017,119311,
